COUNTRY,ISO_A3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,Total_First_Vaccination,TOTAL_VACCINATIONS_PER100,Rate_First_Vaccination,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Jordan,JOR,EMRO,REPORTING,2022-08-21,1.0057975E7,4821579.0,99.0,47.0,4558313.0,45.0,,2021-01-13,,682211.0,7.0
Montserrat,MSR,AMRO,REPORTING,2023-06-02,4619.0,2104.0,92.0,42.0,1952.0,39.0,,2021-02-08,,563.0,11.0
British Virgin Islands,VGB,AMRO,REPORTING,2023-06-02,41453.0,19466.0,137.0,64.0,18261.0,60.0,,2021-02-11,,3726.0,12.0
Ukraine,UKR,EURO,REPORTING,2022-02-27,3.1668577E7,1.57743E7,72.0,36.0,1.5153577E7,35.0,,2021-02-24,,741197.0,2.0
Azerbaijan,AZE,EURO,REPORTING,2023-09-24,1.382936E7,5436662.0,136.0,54.0,4888112.0,48.0,,2021-01-20,,3504588.0,35.0
Philippines,PHL,WPRO,REPORTING,2023-03-19,1.89317158E8,8.2684774E7,173.0,75.0,7.8443972E7,72.0,,2021-03-01,,2.3811248E7,22.0
Chad,TCD,AFRO,REPORTING,2023-11-19,9148883.0,5146338.0,56.0,31.0,5019031.0,31.0,,2021-06-04,,4042573.0,25.0
Cameroon,CMR,AFRO,REPORTING,2023-10-15,4880572.0,3753733.0,18.0,14.0,3197286.0,12.0,,2021-04-12,,803560.0,3.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),XKX,EURO,REPORTING,2023-01-15,1836901.0,904558.0,102.0,50.0,824752.0,46.0,,2021-03-31,,105624.0,6.0
Zambia,ZMB,AFRO,REPORTING,2023-06-25,1.3615707E7,1.1711565E7,74.0,64.0,9155551.0,50.0,,2021-04-14,,1414619.0,8.0
Belarus,BLR,EURO,REPORTING,2023-09-03,2.2511E7,6536392.0,238.0,69.0,6414996.0,68.0,,2021-02-03,,5720777.0,61.0
Congo,COG,AFRO,REPORTING,2022-07-31,833210.0,695760.0,15.0,13.0,654119.0,12.0,,2021-03-23,,,
Nigeria,NGA,AFRO,REPORTING,2023-11-05,1.33048021E8,9.3829435E7,65.0,46.0,8.1297808E7,39.0,,2021-03-05,,1.6826715E7,8.0
New Zealand,NZL,WPRO,REPORTING,2023-04-21,1.2252378E7,4259911.0,254.0,88.0,4096278.0,85.0,,2021-02-19,,2719283.0,56.0
Belgium,BEL,EURO,REPORTING,2023-09-03,2.9120974E7,9255132.0,253.0,80.0,9158814.0,79.0,,2020-12-30,,7245372.0,63.0
Bahrain,BHR,EMRO,REPORTING,2022-12-21,3476633.0,1241174.0,204.0,73.0,1226796.0,72.0,,2020-11-04,,1008663.0,59.0
Sudan,SDN,EMRO,REPORTING,2023-04-02,2.2598737E7,1.5207452E7,52.0,35.0,1.3416394E7,31.0,,2021-03-09,,3891363.0,9.0
Syrian Arab Republic,SYR,EMRO,REPORTING,2023-04-18,5090630.0,3295630.0,29.0,19.0,2358365.0,13.0,,2021-04-01,,75881.0,
Saint Helena,SHN,,REPORTING,,,,,,,,,,,,
Israel,ISR,EURO,REPORTING,2022-06-05,1.7915305E7,7055466.0,207.0,82.0,6385731.0,74.0,,2020-12-16,,4474108.0,52.0
"occupied Palestinian territory, including east Jerusalem",PSE,EMRO,REPORTING,2022-10-18,3748571.0,2012767.0,73.0,39.0,1776973.0,35.0,,2021-02-02,,336967.0,7.0
Uganda,UGA,AFRO,REPORTING,2023-05-28,2.6406936E7,2.0033189E7,58.0,44.0,1.3061126E7,29.0,,2021-03-10,,764664.0,2.0
"Taiwan, China",TWN,,REPORTING,,,,,,,,,,,,
"China, Macao SAR",MAC,WPRO,REPORTING,,,,,,,,,,,,
Germany,DEU,EURO,REPORTING,2023-09-03,1.93241457E8,6.4868618E7,232.0,78.0,6.3566137E7,76.0,,2020-12-23,,5.2143826E7,63.0
Montenegro,MNE,EURO,REPORTING,2022-12-04,526975.0,272610.0,84.0,43.0,254365.0,40.0,,2021-02-24,,,
Tonga,TON,WPRO,REPORTING,2023-06-30,204737.0,87375.0,194.0,83.0,77390.0,73.0,,2021-04-14,,38588.0,37.0
Andorra,AND,EURO,REPORTING,2023-09-24,157072.0,57913.0,203.0,75.0,53501.0,69.0,,2021-01-20,,43071.0,56.0
Tunisia,TUN,EMRO,REPORTING,2023-06-20,1.3253317E7,7218871.0,112.0,61.0,6401841.0,54.0,,2021-03-13,,1258577.0,11.0
Czechia,CZE,EURO,REPORTING,2023-10-01,1.8618084E7,6972320.0,174.0,65.0,6887986.0,64.0,,2020-12-23,,4366166.0,41.0
Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-06-02,73907.0,32815.0,191.0,85.0,30710.0,79.0,,2021-01-11,,7443.0,19.0
Peru,PER,AMRO,REPORTING,2023-11-17,9.0951865E7,3.0542485E7,276.0,93.0,2.8700007E7,87.0,,2021-02-09,,2.2241901E7,67.0
Yemen,YEM,EMRO,REPORTING,2023-11-26,1298447.0,1050112.0,4.0,4.0,806967.0,3.0,,2021-04-20,,68808.0,
Saint Lucia,LCA,AMRO,REPORTING,2023-06-02,122977.0,60140.0,67.0,33.0,54971.0,30.0,,2021-02-17,,7866.0,4.0
Netherlands (Kingdom of the),NLD,EURO,REPORTING,2023-10-01,3.7561429E7,1.3469323E7,216.0,77.0,1.2409126E7,71.0,,2020-12-30,,9417108.0,54.0
"China, Hong Kong SAR",HKG,WPRO,REPORTING,,,,,,,,,,,,
Slovenia,SVN,EURO,REPORTING,2023-10-01,3027801.0,1252307.0,144.0,60.0,1207760.0,58.0,,2020-12-23,,654233.0,31.0
Madagascar,MDG,AFRO,REPORTING,2023-07-30,3092063.0,2710365.0,11.0,10.0,2628849.0,9.0,,2021-05-10,,169187.0,1.0
Thailand,THA,SEARO,REPORTING,2023-09-01,1.42635014E8,5.7666184E7,204.0,83.0,5.4196116E7,78.0,,2021-02-28,,3.2143431E7,46.0
Gambia,GMB,AFRO,REPORTING,2023-03-19,1444492.0,674314.0,60.0,28.0,539186.0,22.0,,2021-03-10,,53741.0,2.0
Malta,MLT,EURO,REPORTING,2023-09-03,1280176.0,450535.0,249.0,88.0,444904.0,86.0,,2020-12-23,,352640.0,69.0
Paraguay,PRY,AMRO,REPORTING,2023-09-22,9867488.0,4005930.0,138.0,56.0,3549775.0,50.0,,2021-02-22,,1660766.0,23.0
Argentina,ARG,AMRO,REPORTING,2023-11-17,1.16571595E8,4.118865E7,258.0,91.0,3.8087569E7,84.0,,2020-12-29,,2.7608419E7,61.0
Zimbabwe,ZWE,AFRO,REPORTING,2023-11-19,1.3935112E7,7525247.0,94.0,51.0,5660934.0,38.0,,2021-02-18,,2298971.0,15.0
Djibouti,DJI,EMRO,REPORTING,2023-10-08,442199.0,421573.0,45.0,43.0,401208.0,41.0,,2021-03-15,,,
Austria,AUT,EURO,REPORTING,2023-07-02,2.0403676E7,6899873.0,229.0,78.0,6682372.0,75.0,,2020-12-30,,5405966.0,61.0
Gabon,GAB,AFRO,REPORTING,2023-02-05,572672.0,311244.0,26.0,14.0,257471.0,12.0,,2021-03-23,,2592.0,
Türkiye,TUR,EURO,REPORTING,2023-01-29,1.52475057E8,5.7936783E7,181.0,69.0,5.317179E7,63.0,,,,2.7896331E7,33.0
Cayman Islands,CYM,AMRO,REPORTING,2023-06-09,151970.0,62113.0,231.0,95.0,60688.0,92.0,,2021-01-15,,24064.0,37.0
Uruguay,URY,AMRO,REPORTING,2023-11-17,9036443.0,3010464.0,260.0,87.0,2903096.0,84.0,,2021-02-27,,2080828.0,60.0
Niger,NER,AFRO,REPORTING,2023-07-30,7372208.0,6248483.0,30.0,26.0,5483001.0,23.0,,2021-03-29,,,
Central African Republic,CAF,AFRO,REPORTING,2023-09-03,3342248.0,2600389.0,69.0,54.0,2484985.0,51.0,,2021-03-19,,366221.0,8.0
Samoa,WSM,WPRO,REPORTING,2023-02-24,453130.0,191403.0,228.0,96.0,177954.0,90.0,,2021-04-18,,82268.0,41.0
Romania,ROU,EURO,REPORTING,2023-09-10,1.6111239E7,8188146.0,83.0,42.0,8142376.0,42.0,,2021-01-27,,1768917.0,9.0
Qatar,QAT,EMRO,REPORTING,2023-05-07,7609178.0,2852178.0,264.0,99.0,2852178.0,99.0,,,,1904822.0,66.0
United States of America,USA,AMRO,REPORTING,2023-07-14,7.1181379E8,2.70227181E8,215.0,82.0,2.30637348E8,70.0,,2020-12-14,,1.18438297E8,36.0
El Salvador,SLV,AMRO,REPORTING,2023-08-25,1.1448379E7,4659970.0,177.0,72.0,4396448.0,68.0,,2021-02-17,,1905226.0,29.0
Mongolia,MNG,WPRO,REPORTING,2023-03-17,5668144.0,2284018.0,173.0,70.0,2185282.0,67.0,,2021-02-23,,1058839.0,32.0
Tajikistan,TJK,EURO,REPORTING,2023-06-04,2.0525784E7,5328277.0,215.0,56.0,5191919.0,54.0,,2021-03-24,,5280117.0,55.0
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2023-05-21,1.387941E7,6324678.0,191.0,87.0,5691962.0,78.0,,2020-11-25,,2451034.0,34.0
Mali,MLI,AFRO,REPORTING,2023-05-14,5922585.0,4354292.0,29.0,22.0,3633589.0,18.0,,2021-03-31,,,
Cambodia,KHM,WPRO,REPORTING,2023-11-07,4.7723729E7,1.5311319E7,285.0,92.0,1.4688007E7,88.0,,2021-02-10,,1.0762713E7,64.0
Brazil,BRA,AMRO,REPORTING,2023-11-17,5.15827664E8,1.84663245E8,243.0,87.0,1.72666955E8,81.0,,2021-01-17,,1.10565285E8,52.0
Italy,ITA,EURO,REPORTING,2023-10-01,1.50322633E8,5.0581361E7,252.0,85.0,4.9484658E7,83.0,,2020-12-23,,4.49175E7,75.0
Barbados,BRB,AMRO,REPORTING,2023-09-22,381743.0,163853.0,133.0,57.0,155045.0,54.0,,2021-01-08,,62845.0,22.0
Ireland,IRL,EURO,REPORTING,2023-09-17,1.2391251E7,4108813.0,250.0,83.0,4063151.0,82.0,,2020-12-30,,3058389.0,62.0
Switzerland,CHE,EURO,REPORTING,2023-07-02,1.6755985E7,6096600.0,194.0,70.0,5723066.0,66.0,,2020-12-23,,4996650.0,58.0
Saudi Arabia,SAU,EMRO,REPORTING,2023-04-25,6.8534631E7,2.7041364E7,197.0,78.0,2.5433941E7,73.0,,2021-01-06,,1.6059326E7,46.0
Colombia,COL,AMRO,REPORTING,2023-06-02,9.0506612E7,4.3012174E7,178.0,85.0,3.7019801E7,73.0,,2021-02-17,,1.4792792E7,29.0
Lebanon,LBN,EMRO,REPORTING,2022-12-22,5814699.0,2740227.0,85.0,40.0,2414223.0,35.0,,2021-02-14,,660249.0,10.0
Republic of Korea,KOR,WPRO,REPORTING,2023-09-04,1.35927574E8,4.5119824E7,265.0,88.0,4.4689199E7,87.0,,2021-02-26,,3.3644119E7,66.0
Trinidad and Tobago,TTO,AMRO,REPORTING,2023-06-02,1589640.0,754399.0,114.0,54.0,718969.0,51.0,,2021-02-17,,174836.0,12.0
Slovakia,SVK,EURO,REPORTING,2023-10-01,7222567.0,2840027.0,132.0,52.0,2791711.0,51.0,,2020-12-23,,1686463.0,31.0
Armenia,ARM,EURO,REPORTING,2023-10-01,2256919.0,1150915.0,76.0,39.0,1030758.0,35.0,,2021-01-27,,81354.0,3.0
Guyana,GUY,AMRO,REPORTING,2023-09-08,967861.0,497550.0,123.0,63.0,384507.0,49.0,,2021-02-11,,80224.0,10.0
Mexico,MEX,AMRO,REPORTING,2023-06-30,2.22921381E8,9.6727823E7,173.0,75.0,8.1407121E7,63.0,,2020-12-24,,5.7014052E7,44.0
United Kingdom of Great Britain and Northern Ireland,GBR,EURO,REPORTING,2022-09-11,1.5124882E8,5.3813491E7,223.0,79.0,5.0762968E7,75.0,,2020-12-21,,,
Gibraltar,GIB,,REPORTING,,,,,,,,,,,,
Kazakhstan,KAZ,EURO,REPORTING,2023-04-30,3.8355605E7,1.2443364E7,204.0,66.0,1.3070774E7,70.0,,2021-04-07,,6801526.0,36.0
Canada,CAN,AMRO,REPORTING,2023-09-22,9.9034734E7,3.2647931E7,262.0,87.0,3.1314748E7,83.0,,2020-12-14,,1.9860368E7,53.0
France,FRA,EURO,REPORTING,2023-07-09,1.58060078E8,5.4677676E7,243.0,84.0,5.3189148E7,82.0,,2020-12-23,,4.104216E7,63.0
Mauritania,MRT,AFRO,REPORTING,2023-11-19,4075874.0,2103754.0,88.0,45.0,1540597.0,33.0,,2021-03-26,,383937.0,8.0
Palau,PLW,WPRO,REPORTING,2023-03-10,51032.0,20295.0,282.0,100.0,18278.0,100.0,,2021-01-03,,12885.0,71.0
Iraq,IRQ,EMRO,REPORTING,2023-01-02,1.9557364E7,1.1332925E7,49.0,28.0,7944775.0,20.0,,2021-03-02,,275280.0,1.0
Burundi,BDI,AFRO,REPORTING,2023-11-05,41538.0,36909.0,,,36321.0,,,2021-10-18,,314.0,
Oman,OMN,EMRO,REPORTING,2022-10-25,7108547.0,3279632.0,139.0,64.0,3048826.0,60.0,,2020-12-29,,779859.0,15.0
Sao Tome and Principe,STP,AFRO,REPORTING,2023-07-30,263863.0,140256.0,120.0,64.0,111986.0,51.0,,2021-03-15,,34624.0,16.0
Uzbekistan,UZB,EURO,REPORTING,2023-09-24,8.2204584E7,2.2087857E7,246.0,66.0,1.8445168E7,55.0,,2021-04-28,,1.625134E7,49.0
Solomon Islands,SLB,WPRO,REPORTING,2023-07-04,612700.0,335796.0,89.0,49.0,254016.0,37.0,,2021-03-23,,27896.0,4.0
Mauritius,MUS,AFRO,REPORTING,2023-07-30,2616012.0,1123773.0,206.0,88.0,1088142.0,86.0,,2021-01-26,,654507.0,51.0
Angola,AGO,AFRO,REPORTING,2023-11-19,2.7722924E7,1.6522932E7,84.0,50.0,9591203.0,29.0,,2021-03-10,,3014421.0,9.0
Republic of Moldova,MDA,EURO,REPORTING,2023-10-01,2291436.0,1109270.0,57.0,27.0,1078813.0,27.0,,2021-03-03,,404774.0,10.0
Bangladesh,BGD,SEARO,REPORTING,2023-10-18,3.62229859E8,1.51504394E8,220.0,92.0,1.42193276E8,86.0,,2021-01-27,,6.8532189E7,42.0
Estonia,EST,EURO,REPORTING,2023-10-01,2205229.0,845148.0,166.0,64.0,842177.0,63.0,,2020-12-23,,487389.0,37.0
Morocco,MAR,EMRO,REPORTING,2023-05-14,5.5389602E7,2.5020168E7,150.0,68.0,2.3521989E7,64.0,,2021-01-28,,6925973.0,19.0
Guatemala,GTM,AMRO,REPORTING,2023-11-17,2.0383072E7,8937923.0,114.0,50.0,7130756.0,40.0,,2021-02-25,,3723701.0,21.0
Greece,GRC,EURO,REPORTING,2023-10-01,2.1985885E7,7917288.0,205.0,74.0,7745574.0,72.0,,2020-12-23,,5902357.0,55.0
Wallis and Futuna,WLF,WPRO,REPORTING,2023-01-23,17303.0,7150.0,154.0,64.0,6803.0,60.0,,2021-03-19,,3350.0,30.0
Afghanistan,AFG,EMRO,REPORTING,2023-11-26,2.2606931E7,1.8896999E7,58.0,49.0,1.8115861E7,47.0,,2021-02-22,,2626670.0,7.0
Niue,NIU,WPRO,REPORTING,2023-03-04,4923.0,1638.0,304.0,100.0,1635.0,100.0,,2021-06-08,,1225.0,76.0
Japan,JPN,WPRO,REPORTING,2023-10-03,4.09826682E8,1.04737006E8,324.0,83.0,1.03417721E8,82.0,,2021-02-17,,8.6596573E7,68.0
Spain,ESP,EURO,REPORTING,2023-09-03,1.12886307E8,4.1332084E7,238.0,87.0,3.7485721E7,79.0,,2020-12-30,,2.6573833E7,56.0
Guinea-Bissau,GNB,AFRO,REPORTING,2023-10-15,920752.0,747057.0,47.0,38.0,547637.0,28.0,,2021-04-02,,76359.0,4.0
Liechtenstein,LIE,,REPORTING,,71104.0,26681.0,,,26346.0,,,,,18310.0,
Côte d'Ivoire,CIV,AFRO,REPORTING,2023-02-19,2.5263932E7,1.3568372E7,96.0,51.0,1.2164304E7,46.0,,2021-03-01,,3138712.0,12.0
Equatorial Guinea,GNQ,AFRO,REPORTING,2022-07-24,488738.0,270109.0,35.0,19.0,214032.0,15.0,,2021-02-12,,4597.0,
Egypt,EGY,EMRO,REPORTING,2023-05-21,1.12673535E8,5.6907319E7,110.0,56.0,4.2337175E7,41.0,,2021-01-24,,1.5217352E7,15.0
